Date,Petrol_Price,Diesel_Price,Crude_Oil_Price,Year,Month,Quarter,DayOfYear,Petrol_Lag1,Diesel_Lag1,Crude_Lag1,Crude_MA7,Petrol_MA7,Diesel_MA7,central_bank_total_assets ,currency_in_circulation,gov_deposits_with_cb ,srr_commercial_bank_deposits,reserve_money,narrow_money_m1,broad_money_m2,broad_money_m2b,quasi_money_public,net_foreign_assets,credit_to_government_net, credit_to_public_corporations,credit_to_private_sector,total_domestic_credit,broad_money_m4,net_credit_to_gov_central_bank,net_credit_to_gov_commercial_total,net_credit_to_gov_commercial_dbu,net_credit_to_gov_commercial_obu,credit_to_sobes_dbu,credit_to_sobes_obu,credit_to_private_dbu,credit_to_private_obu,m2b_other_items_net,nfa_monetary_authorities,nfa_commercial_banks_total,nfa_commercial_banks_dbu,nfa_commercial_banks_obu,reserve_money_yoy_pct,narrow_money_m1_yoy_pct,broad_money_m2_yoy_pct ,broad_money_m2b_yoy_pct,money_supply_foreign_assets_yoy_pct ,nfa_monetary_authorities_yoy_pct,nfa_commercial_banks_total_yoy_pct ,nfa_commercial_banks_dbu_yoy_pct,nfa_commercial_banks_obu_yoy_pct,net_domestic_assets_yoy_pct ,net_credit_to_gov_yoy_pct,net_credit_to_gov_cb_yoy_pct,net_credit_to_gov_commercial_total_yoy_pct,net_credit_to_gov_commercial_dbu_yoy_pct,net_credit_to_gov_commercial_obu_yoy_pct,credit_to_public_corporations_yoy_pct,credit_to_sobes_dbu_yoy_pct,credit_to_sobes_obu_yoy_pct,credit_to_private_sector_yoy_pct,credit_to_private_dbu_yoy_pct,credit_to_private_obu_yoy_pct,m2b_other_items_net_yoy_pct
1992-08-21,35.5,14.5,21.19,1992,8,3,234,32.5,14.5,21.42,24.37857142857143,31.428571428571427,13.414285714285716,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1992-12-21,35.5,14.5,19.92,1992,12,4,356,35.5,14.5,21.19,24.197142857142858,33.357142857142854,13.928571428571429,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1993-06-07,35.5,14.5,19.6,1993,6,2,158,35.5,14.5,19.92,23.18285714285715,34.57142857142857,14.214285714285714,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1993-06-11,35.5,14.5,18.99,1993,6,2,162,35.5,14.5,19.6,21.31714285714286,34.214285714285715,14.142857142857142,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1993-07-12,35.5,14.6,18.12,1993,7,3,193,35.5,14.5,18.99,19.99857142857143,34.642857142857146,14.37142857142857,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1993-08-30,35.5,14.7,18.63,1993,8,3,242,35.5,14.6,18.12,19.695714285714285,35.07142857142857,14.542857142857144,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1993-10-14,37.5,14.8,18.5,1993,10,4,287,35.5,14.7,18.63,19.27857142857143,35.785714285714285,14.585714285714284,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1993-12-17,37.5,15.0,13.98,1993,12,4,351,37.5,14.8,18.5,18.248571428571427,36.07142857142857,14.657142857142857,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1994-02-17,37.5,15.1,14.26,1994,2,1,48,37.5,15.0,13.98,17.44,36.357142857142854,14.742857142857142,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1994-03-28,37.5,12.2,14.15,1994,3,1,87,37.5,15.1,14.26,16.66142857142857,36.642857142857146,14.414285714285713,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1994-06-28,37.5,14.2,19.14,1994,6,2,179,37.5,12.2,14.15,16.68285714285714,36.92857142857143,14.37142857142857,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1995-01-26,42.5,14.2,18.23,1995,1,1,26,37.5,14.2,19.14,16.69857142857143,37.92857142857143,14.314285714285717,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1995-02-09,42.5,15.2,18.28,1995,2,1,40,42.5,14.2,18.23,16.648571428571426,38.92857142857143,14.385714285714284,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
1999-05-26,53.0,18.5,17.32,1999,5,2,146,42.5,15.2,18.28,16.48,41.142857142857146,14.914285714285716,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2000-02-07,53.0,21.5,28.4,2000,2,1,38,53.0,18.5,17.32,18.54,43.357142857142854,15.842857142857143,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2000-06-12,53.0,24.8,31.76,2000,6,2,164,53.0,21.5,28.4,21.04,45.57142857142857,17.22857142857143,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2000-11-16,53.0,26.8,34.84,2000,11,4,321,53.0,24.8,31.76,23.99571428571429,47.785714285714285,19.314285714285713,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2000-12-27,53.0,29.8,26.55,2000,12,4,362,53.0,26.8,34.84,25.05428571428572,50.0,21.542857142857144,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2001-11-15,53.0,32.8,17.5,2001,11,4,319,53.0,29.8,26.55,24.95,51.5,24.2,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2001-12-28,53.0,31.8,20.42,2001,12,4,362,53.0,32.8,17.5,25.255714285714284,53.0,26.571428571428573,975414.86,243339.91,2.95,95128.32,338471.17,373834.42,1718989.27,1971922.63,1598088.21,347192.13,693081.24,106102.62,1359926.42,2159110.27,2493586.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
